Day of Date,Active
"January 25, 2020",1
"January 26, 2020",1
"January 27, 2020",1
"January 28, 2020",2
"January 29, 2020",2
"January 30, 2020",3
"January 31, 2020",4
"February 1, 2020",4
"February 2, 2020",4
"February 3, 2020",4
"February 4, 2020",4
"February 5, 2020",4
"February 6, 2020",4
"February 7, 2020",3
"February 8, 2020",3
"February 9, 2020",3
"February 10, 2020",3
"February 11, 2020",3
"February 12, 2020",3
"February 13, 2020",2
"February 14, 2020",2
"February 15, 2020",2
"February 16, 2020",2
"February 17, 2020",1
"February 22, 2020",2
"February 23, 2020",2
"February 24, 2020",2
"February 25, 2020",3
"February 26, 2020",1
"February 27, 2020",1
"March 1, 2020",2
"March 2, 2020",2
"March 3, 2020",2
"March 4, 2020",3
"March 5, 2020",3
"March 6, 2020",3
"March 7, 2020",4
"March 8, 2020",6
"March 9, 2020",9
"March 10, 2020",11
"March 11, 2020",16
"March 12, 2020",26
"March 13, 2020",41
"March 14, 2020",46
"March 15, 2020",52
"March 16, 2020",58
"March 17, 2020",93
"March 18, 2020",118
"March 19, 2020",138
"March 20, 2020",169
"March 21, 2020",194
"March 22, 2020",242
"March 23, 2020",281
"March 24, 2020",327
"March 25, 2020",364
"March 26, 2020",386
"March 27, 2020",465
"March 28, 2020",541
"March 29, 2020",504
"March 30, 2020",530
"March 31, 2020",520
"April 1, 2020",520
"April 2, 2020",504
"April 3, 2020",462
"April 4, 2020",424
"April 5, 2020",400
"April 6, 2020",379
"April 7, 2020",339
"April 8, 2020",291
"April 9, 2020",253
"April 10, 2020",240
"April 11, 2020",216
"April 12, 2020",189
"April 13, 2020",161
"April 14, 2020",134
"April 15, 2020",116
"April 16, 2020",104
"April 17, 2020",95
"April 18, 2020",95
"April 19, 2020",80
"April 20, 2020",80
"April 21, 2020",70
"April 22, 2020",64
"April 23, 2020",63
"April 24, 2020",59
"April 25, 2020",58
"April 26, 2020",51
"April 27, 2020",50
"April 28, 2020",47
"April 29, 2020",46
"April 30, 2020",49
"May 1, 2020",57
"May 2, 2020",65
"May 3, 2020",85
"May 4, 2020",93
"May 5, 2020",102
"May 6, 2020",112
"May 7, 2020",121
"May 8, 2020",125
"May 9, 2020",125
"May 10, 2020",116
"May 11, 2020",118
"May 12, 2020",114
"May 13, 2020",108
"May 14, 2020",119
"May 15, 2020",122
"May 16, 2020",110
"May 17, 2020",107
"May 18, 2020",96
"May 19, 2020",89
"May 20, 2020",85
"May 21, 2020",84
"May 22, 2020",83
"May 23, 2020",72
"May 24, 2020",59
"May 25, 2020",58
"May 26, 2020",62
"May 27, 2020",63
"May 28, 2020",64
"May 29, 2020",68
"May 30, 2020",69
"May 31, 2020",69
"June 1, 2020",74
"June 2, 2020",69
"June 3, 2020",68
"June 4, 2020",69
"June 5, 2020",66
"June 6, 2020",67
"June 7, 2020",65
"June 8, 2020",57
"June 9, 2020",56
"June 10, 2020",55
"June 11, 2020",49
"June 12, 2020",50
"June 13, 2020",47
"June 14, 2020",51
"June 15, 2020",59
"June 16, 2020",75
"June 17, 2020",85
"June 18, 2020",96
"June 19, 2020",115
"June 20, 2020",124
"June 21, 2020",130
"June 22, 2020",137
"June 23, 2020",145
"June 24, 2020",164
"June 25, 2020",183
"June 26, 2020",204
"June 27, 2020",238
"June 28, 2020",292
"June 29, 2020",326
"June 30, 2020",377
"July 1, 2020",428
"July 2, 2020",454
"July 3, 2020",515
"July 4, 2020",544
"July 5, 2020",618
"July 6, 2020",744
"July 7, 2020",837
"July 8, 2020",922
"July 9, 2020",1014
"July 10, 2020",1241
"July 11, 2020",1439
"July 12, 2020",1565
"July 13, 2020",1745
"July 14, 2020",1857
"July 15, 2020",2061
"July 16, 2020",2335
"July 17, 2020",2435
"July 18, 2020",2646
"July 19, 2020",2768
"July 20, 2020",2976
"July 21, 2020",3277
"July 22, 2020",3503
"July 23, 2020",3624
"July 24, 2020",3837
"July 25, 2020",4070
"July 26, 2020",4406
"July 27, 2020",4600
"July 28, 2020",4621
"July 29, 2020",5047
"July 30, 2020",5316
"July 31, 2020",5413
"August 1, 2020",5673
"August 2, 2020",5766
"August 3, 2020",5924
"August 4, 2020",6394
"August 5, 2020",6523
"August 6, 2020",6659
"August 7, 2020",6778
"August 8, 2020",6732
"August 9, 2020",6631
"August 10, 2020",6610
"August 11, 2020",6556
"August 12, 2020",6444
"August 13, 2020",6328
"August 14, 2020",6155
"August 15, 2020",5898
"August 16, 2020",5540
"August 17, 2020",5329
"August 18, 2020",5077
"August 19, 2020",4731
"August 20, 2020",4399
"August 21, 2020",4205
"August 22, 2020",3892
"August 23, 2020",3611
"August 24, 2020",3614
"August 25, 2020",3389
"August 26, 2020",3201
"August 27, 2020",3024
"August 28, 2020",2857
"August 29, 2020",2695
"August 30, 2020",2519
"August 31, 2020",2431
"September 1, 2020",2346
"September 2, 2020",2174
"September 3, 2020",2039
"September 4, 2020",1931
"September 5, 2020",1834
"September 6, 2020",1745
"September 7, 2020",1677
"September 8, 2020",1589
"September 9, 2020",1462
"September 10, 2020",1326
"September 11, 2020",1246
"September 12, 2020",1138
"September 13, 2020",1081
"September 14, 2020",1048
"September 15, 2020",1013
"September 16, 2020",969
"September 17, 2020",941
"September 18, 2020",838
"September 19, 2020",783
"September 20, 2020",741
"September 21, 2020",693
"September 22, 2020",624
"September 23, 2020",576
"September 24, 2020",533
"September 25, 2020",497
"September 26, 2020",452
"September 27, 2020",412
"September 28, 2020",379
"September 29, 2020",357
"September 30, 2020",342
"October 1, 2020",309
"October 2, 2020",296
"October 3, 2020",292
"October 4, 2020",277
"October 5, 2020",267
"October 6, 2020",260
"October 7, 2020",252
"October 8, 2020",249
"October 9, 2020",249
"October 10, 2020",249
"October 11, 2020",253
"October 12, 2020",249
"October 13, 2020",245
"October 14, 2020",238
"October 15, 2020",157
