Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1900,41.93,6.60,88.24,91.03,87.10,83.43,35.13,93.27,55.90,25.24,25.73,22.90
1901,43.70,9.95,33.97,76.97,24.49,87.49,48.80,64.24,73.11,70.53,24.73,18.61
1902,35.35,17.45,63.26,9.34,15.08,79.26,35.74,25.38,46.06,47.61,18.27,100.80
1903,18.60,28.45,63.56,81.68,41.35,69.99,83.94,38.84,101.91,67.62,68.68,51.29
1904,81.28,51.64,15.01,25.23,61.45,68.39,80.01,60.90,39.22,75.61,38.26,14.35
1905,39.18,28.89,11.27,62.11,72.80,72.67,106.28,37.53,65.11,92.23,19.34,40.37
1906,3.27,17.18,104.61,21.59,84.79,91.29,77.33,68.67,77.14,82.24,81.18,35.90
1907,16.99,19.68,22.46,67.48,46.00,46.93,63.72,71.82,31.07,31.85,49.78,75.75
1908,16.34,28.80,29.87,11.64,59.35,88.47,41.54,55.43,93.55,68.87,30.92,16.79
1909,38.42,32.45,44.46,60.96,81.10,119.83,73.24,117.20,47.70,41.97,21.69,28.81
1910,41.82,9.37,79.53,12.84,63.02,71.02,81.78,56.88,103.24,58.40,63.80,51.98
1911,49.19,136.39,84.01,17.33,78.54,90.66,58.07,29.90,75.04,28.37,16.43,72.52
1912,10.34,24.05,22.92,32.31,21.88,69.58,79.26,48.94,105.52,31.03,75.73,63.22
1913,13.26,32.98,120.53,28.66,71.73,47.78,32.52,62.66,66.51,63.62,47.53,27.07
1914,24.99,6.52,36.54,53.98,48.91,22.60,58.77,13.18,22.51,5.45,42.86,61.27
1915,35.10,11.61,9.50,34.66,72.94,97.71,54.24,83.82,99.70,64.55,23.07,14.58
1916,51.25,35.91,13.08,38.64,30.77,87.77,80.65,87.81,130.97,78.29,97.62,62.22
1917,32.57,59.69,38.94,34.86,80.88,89.34,97.99,88.22,93.65,111.15,63.67,33.21
1918,49.81,33.30,60.95,42.93,110.69,74.99,67.11,69.33,38.10,52.34,12.04,28.38
1919,6.25,78.26,60.30,23.03,69.52,55.64,44.57,63.95,59.00,32.13,22.19,77.59
1920,32.70,6.55,32.55,29.86,47.78,83.69,64.45,107.29,87.88,79.40,51.91,35.99
1921,50.95,44.32,42.09,24.26,73.03,59.96,70.55,82.93,93.84,56.28,46.49,35.44
1922,28.16,37.03,9.01,30.29,62.06,57.78,64.88,58.81,78.15,70.75,16.86,49.39
1923,22.95,4.22,4.01,1.58,91.31,120.99,118.14,56.77,73.29,71.69,48.05,61.22
1924,54.44,83.51,65.20,46.27,38.19,54.05,27.14,89.59,70.28,73.89,109.20,45.21
1925,57.23,47.55,22.37,25.13,78.68,40.59,78.33,50.72,64.62,25.23,36.28,7.46
