"","end","country","load"
"1",2018-01-02,"Austria",741296
"2",2018-01-03,"Austria",777325
"3",2018-01-04,"Austria",774948
"4",2018-01-05,"Austria",744891
"5",2018-01-06,"Austria",645690
"6",2018-01-07,"Austria",642599
"7",2018-01-08,"Austria",788994
"8",2018-01-09,"Austria",796405
"9",2018-01-10,"Austria",805088
"10",2018-01-11,"Austria",805413
"11",2018-01-12,"Austria",806840
"12",2018-01-13,"Austria",721933
"13",2018-01-14,"Austria",688644
"14",2018-01-15,"Austria",840759
"15",2018-01-16,"Austria",842678
"16",2018-01-17,"Austria",845179
"17",2018-01-18,"Austria",833346
"18",2018-01-19,"Austria",821537
"19",2018-01-20,"Austria",721552
"20",2018-01-21,"Austria",677937
"21",2018-01-22,"Austria",833587
"22",2018-01-23,"Austria",825978
"23",2018-01-24,"Austria",825110
"24",2018-01-25,"Austria",823389
"25",2018-01-26,"Austria",812076
"26",2018-01-27,"Austria",716621
"27",2018-01-28,"Austria",667839
"28",2018-01-29,"Austria",788369
"29",2018-01-30,"Austria",799083
"30",2018-01-31,"Austria",803652
"31",2018-02-01,"Austria",817130
"32",2018-02-02,"Austria",812538
"33",2018-02-03,"Austria",714129
"34",2018-02-04,"Austria",663387
"35",2018-02-05,"Austria",822738
"36",2018-02-06,"Austria",829165
"37",2018-02-07,"Austria",841604
"38",2018-02-08,"Austria",838976
"39",2018-02-09,"Austria",820790
"40",2018-02-10,"Austria",724931
"41",2018-02-11,"Austria",676099
"42",2018-02-12,"Austria",825953
"43",2018-02-13,"Austria",826750
"44",2018-02-14,"Austria",840549
"45",2018-02-15,"Austria",845592
"46",2018-02-16,"Austria",820603
"47",2018-02-17,"Austria",718797
"48",2018-02-18,"Austria",675379
"49",2018-02-19,"Austria",816455
"50",2018-02-20,"Austria",839998
"51",2018-02-21,"Austria",847125
"52",2018-02-22,"Austria",855515
"53",2018-02-23,"Austria",840912
"54",2018-02-24,"Austria",757077
"55",2018-02-25,"Austria",719594
"56",2018-02-26,"Austria",892212
"57",2018-02-27,"Austria",911561
"58",2018-02-28,"Austria",905416
"59",2018-03-01,"Austria",905516
