Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1910,0.17,0.04,-0.56,-0.08,0.10,0.21,-0.18,0.72,-0.04,-1.41,0.33,-2.02
1911,-0.78,-1.25,-1.25,-2.41,-0.16,-1.35,-0.92,1.19,0.60,-0.33,1.83,-0.95
1912,-0.81,1.38,0.34,-1.71,-1.13,0.00,-0.78,0.01,-0.37,-0.16,-0.62,-0.64
1913,-1.41,-0.10,-1.66,0.38,-1.29,-1.00,0.14,-0.22,-0.32,0.62,-1.68,1.05
1914,-0.84,1.32,0.88,-0.54,-0.42,-0.30,-0.99,0.41,-0.08,3.21,2.99,1.43
1915,-0.63,0.50,-1.25,-0.82,-1.34,0.19,0.75,-0.01,0.11,-1.26,-1.76,0.01
1916,0.08,-0.22,-0.98,-1.57,-0.76,-0.62,-0.35,-0.99,1.08,-0.63,-2.23,-0.25
1917,-0.45,-1.88,-1.36,-2.46,-1.52,-0.60,0.33,-0.13,0.04,-0.39,-0.75,1.63
1918,0.84,-0.70,-0.97,-0.91,0.51,0.53,-0.92,0.23,0.57,-0.83,-0.55,-0.35
1919,-0.74,0.98,-2.05,0.75,0.09,0.24,-0.79,0.04,0.91,0.90,1.76,1.61
1920,-1.08,0.40,-1.41,-1.13,-2.01,0.15,-0.28,-0.79,-0.07,0.59,0.37,0.89
1921,1.13,1.12,-0.49,-0.25,1.26,0.28,0.70,-0.55,0.88,-0.44,1.43,-0.20
1922,-1.38,0.69,-1.25,0.20,0.11,-0.47,0.01,-0.76,-0.46,0.12,0.14,0.01
1923,-1.50,-0.41,-0.74,1.27,0.82,0.52,0.47,-0.28,-0.39,-0.47,-1.80,0.21
1924,-2.45,-2.37,-1.28,-2.60,-1.40,-1.04,-0.38,-0.03,0.12,-0.06,-0.46,-1.43
1925,-1.25,-1.92,-0.86,0.21,-0.15,0.17,-0.45,-1.13,-1.31,0.10,0.11,-0.24
1926,-1.86,-0.61,0.41,-0.13,-1.36,0.11,0.61,-0.07,1.18,0.40,-0.14,-0.15
1927,-0.27,-1.54,-1.38,-1.54,-1.00,-1.65,-0.28,-0.48,-0.37,1.02,1.59,0.67
1928,-0.63,-0.34,0.66,0.28,-1.17,-0.56,0.03,0.28,1.51,-1.42,-0.12,0.63
