"","end","country","load"
"1",2017-01-02,"Austria",768953
"2",2017-01-03,"Austria",792825
"3",2017-01-04,"Austria",804398
"4",2017-01-05,"Austria",799344
"5",2017-01-06,"Austria",736018
"6",2017-01-07,"Austria",756432
"7",2017-01-08,"Austria",716797
"8",2017-01-09,"Austria",850033
"9",2017-01-10,"Austria",879128
"10",2017-01-11,"Austria",887279
"11",2017-01-12,"Austria",856969
"12",2017-01-13,"Austria",855985
"13",2017-01-14,"Austria",757377
"14",2017-01-15,"Austria",702605
"15",2017-01-16,"Austria",853864
"16",2017-01-17,"Austria",878298
"17",2017-01-18,"Austria",883022
"18",2017-01-19,"Austria",885528
"19",2017-01-20,"Austria",875088
"20",2017-01-21,"Austria",785783
"21",2017-01-22,"Austria",728749
"22",2017-01-23,"Austria",870924
"23",2017-01-24,"Austria",894127
"24",2017-01-25,"Austria",888173
"25",2017-01-26,"Austria",883423
"26",2017-01-27,"Austria",866682
"27",2017-01-28,"Austria",775302
"28",2017-01-29,"Austria",732031
"29",2017-01-30,"Austria",885093
"30",2017-01-31,"Austria",884323
"31",2017-02-01,"Austria",873072
"32",2017-02-02,"Austria",862132
"33",2017-02-03,"Austria",832176
"34",2017-02-04,"Austria",718444
"35",2017-02-05,"Austria",660594
"36",2017-02-06,"Austria",828764
"37",2017-02-07,"Austria",820261
"38",2017-02-08,"Austria",838373
"39",2017-02-09,"Austria",847906
"40",2017-02-10,"Austria",831094
"41",2017-02-11,"Austria",734617
"42",2017-02-12,"Austria",689880
"43",2017-02-13,"Austria",819158
"44",2017-02-14,"Austria",822050
"45",2017-02-15,"Austria",816447
"46",2017-02-16,"Austria",812208
"47",2017-02-17,"Austria",818144
"48",2017-02-18,"Austria",713334
"49",2017-02-19,"Austria",662014
"50",2017-02-20,"Austria",798103
"51",2017-02-21,"Austria",803374
"52",2017-02-22,"Austria",795116
"53",2017-02-23,"Austria",775535
"54",2017-02-24,"Austria",784561
"55",2017-02-25,"Austria",680386
