"","end","Australia","Austria","Belgium","Switzerland","Germany","Denmark","Spain","France","UK","Ireland","Italy","Luxembourg","Netherlands","Norway","Portugal","Sweden","US"
"1",2015-01-01,952154.65,598663,863220,165373,4312518,83317,548137,1525301,1332103,131625,564032,34298,978744,369261,113935,361711,NA
"2",2015-01-02,1075479.27,555215,957529,174579,4988519,96470,342907,1638364,1479811,145218,683462,41565,1143429,399787,136837,399196,NA
"3",2015-01-03,1081412.48,523320,975939,175873,4467685,91254,662615,1517037,1488154,143082,649853,39979,1240173,408319,133226,410300,NA
"4",2015-01-04,960090.38,499761,952664,170471,4328006,89720,629931,1401820,1485885,140210,599290,38477,1202419,419643,130218,422993,NA
"5",2015-01-05,1033967.6,650189,1114419,200167,5299211,104652,677868,1700827,1988194,159518,690888,50758,1507635,455796,155511,465652,NA
"6",2015-01-06,1092393.98,570884,1161639,203211,5327534,106728,605662,1798781,1989034,161081,630703,52802,1514722,440285,159796,445645,NA
"7",2015-01-07,1151911.67,697618,1146275,205329,5767877,106253,758579,1769287,2023110,166143,827741,52935,1222810,432581,164636,471204,NA
"8",2015-01-08,1119119.65,718532,1148428,201839,5899379,108858,784885,1695792,1990489,164282,862777,49658,1281455,424851,167043,450540,NA
"9",2015-01-09,1077871.12,612133,1117357,197101,5838062,107081,775146,1601505,1957207,162931,865556,47329,1239626,444703,164150,457667,NA
"10",2015-01-10,966670.66,552217,997977,167230,4976146,96269,689708,1359230,1776857,148341,716389,40235,1074804,430240,143968,432207,NA
"11",2015-01-11,922707.38,543877,971121,168333,4649022,94843,639058,1358301,1778246,145327,631186,38499,1006257,424703,134543,450122,NA
"12",2015-01-12,1072605.98,687718,1103562,201272,5939525,109127,760214,1617773,1981328,161358,836044,48372,1229025,457950,156446,493828,NA
"13",2015-01-13,1072407.43,730238,1110286,199366,5854270,103814,771234,1616115,2106051,166409,878016,48361,1250815,443682,162786,462635,NA
"14",2015-01-14,1086397.83,746053,1128352,199732,5848029,110509,770740,1616103,2165619,173268,888609,50158,1265144,445338,159677,469098,NA
"15",2015-01-15,1092942.78,792448,1125574,200479,5917822,110727,769388,1618430,2142138,170651,888340,49389,1258711,443723,162197,468944,NA
"16",2015-01-16,1086754.38,766100,1112579,198785,5727125,105685,770516,1622208,2147528,166440,902834,52873,1224207,430045,161084,444375,NA
"17",2015-01-17,998763.32,678108,1024831,184313,4912403,91705,700578,1549780,2002667,153881,729618,44942,1066646,413754,146535,401861,NA
"18",2015-01-18,987335.86,667341,995150,176376,4557097,91322,669522,1551774,1965965,149013,641828,42622,1011150,418721,138289,419726,NA
"19",2015-01-19,1066611.8,669936,1144637,206837,5824594,107213,792704,1776038,2184552,170631,845903,54117,1245593,468656,159802,478722,NA
"20",2015-01-20,1062215.74,731950,1164668,207745,5956980,109587,816890,1834759,2233902,172250,893331,54216,1257362,471586,164718,485698,NA
"21",2015-01-21,1124624.27,640934,1166297,209677,5946250,109591,819827,1850896,2226805,169835,900946,54078,1252317,469048,167731,485185,NA
"22",2015-01-22,1160122.83,661382,1180284,210202,5987622,107950,814048,1857444,2209029,169652,899756,55157,1269788,482854,166436,483861,NA
"23",2015-01-23,1136065.31,678449,1169426,209363,5883281,106192,802958,1883433,2205890,166417,888574,54390,1272806,490248,159902,490123,NA
"24",2015-01-24,1019452.28,620203,1062201,186935,5130092,96407,719613,1733625,1995856,152777,732965,47397,1083166,440043,140248,451064,NA
"25",2015-01-25,986110.98,604063,999697,175764,4658595,91281,660295,1651983,1952973,143450,642237,44453,1244933,433412,130869,429157,NA
"26",2015-01-26,967009.61,718510,1110065,210940,5926599,106969,780961,1784712,2127476,161003,855697,53541,1240525,442783,154219,472799,NA
"27",2015-01-27,1045438.18,703008,1116696,209296,5953995,106579,790396,1769407,2169898,164480,892991,53899,1224686,442271,156986,473531,NA
"28",2015-01-28,1010537.97,731292,1130418,210138,6077732,108673,749901,1764135,2147582,166860,906051,52500,1273726,427774,157361,464789,NA
"29",2015-01-29,1016151.46,719852,1126363,209672,6033993,109914,782389,1761513,2207708,170918,908348,53620,1254215,436596,159339,468768,NA
"30",2015-01-30,1022378.24,640404,1135064,211720,5859736,106325,772470,1777793,2203503,167162,893117,54455,1248862,440854,159020,467455,NA
"31",2015-01-31,934819.3,599564,1036709,185408,5001043,93694,693434,1651345,2017027,155725,754030,47875,1082515,424363,139446,439889,NA
"32",2015-02-01,911435.04,668421,1009541,168856,4614918,92615,654031,1621586,1987866,147965,651270,43505,1001301,432747,132210,435138,NA
"33",2015-02-02,1029324.09,814975,1141591,193683,5927810,108023,789294,1829288,2233922,167369,851416,52272,1245453,473892,158232,497386,NA
"34",2015-02-03,1028033.81,805464,1161994,196867,6007786,109196,807526,1897537,2219513,171225,903140,54315,1224569,482623,161976,505161,NA
"35",2015-02-04,1008121.29,797421,1166958,195805,6038889,110118,825753,1924739,2204069,171393,915222,53459,1253300,490940,162166,506783,NA
"36",2015-02-05,1030338.89,742508,1180886,198806,6039927,108738,783607,1950403,2242842,170781,910983,53408,1249012,493107,164170,499660,NA
"37",2015-02-06,1085787.57,755268,1169400,198807,5966968,105112,823236,2008952,2171131,167085,910245,51730,1237898,464894,166049,473639,NA
"38",2015-02-07,1026215.94,715988,1054168,177498,5142717,93273,749273,1813596,1996688,152278,764182,45744,1091486,430170,148525,421636,NA
"39",2015-02-08,994663.54,666515,988474,168395,4740860,92001,684181,1679873,1907643,147450,673992,42614,1000311,428318,139041,429371,NA
"40",2015-02-09,1081430.81,813283,1130608,194172,5989589,101863,807657,1828092,2078298,168108,886934,52725,1208697,432367,161355,444395,NA
"41",2015-02-10,1134399.19,801452,1151767,194224,5954655,101928,742590,1822193,2151855,170427,913184,53307,1220111,421777,165469,437899,NA
"42",2015-02-11,1144254.89,830258,1145717,193229,5938735,103520,808320,1777349,2194321,169784,909050,53223,1248238,428323,163511,446019,NA
"43",2015-02-12,1108985.69,795505,1144344,190386,5914171,104394,762505,1768980,2193502,166934,895583,54270,1249715,440452,160343,448851,NA
"44",2015-02-13,1101956.87,764334,1108274,181273,5784027,102470,774476,1704237,2136589,164847,893170,51751,1191687,441798,161042,452774,NA
"45",2015-02-14,1018269.47,682761,985164,165469,4927801,91701,695365,1523048,1945480,147698,765025,43957,1015906,413029,142892,420644,NA
"46",2015-02-15,1012310.39,644896,929123,159663,4562201,92251,639124,1467273,1872267,142028,651449,40781,937955,410497,131332,417484,NA
"47",2015-02-16,1094748.19,760338,1088345,182942,5646458,106841,744949,1692130,2105533,159904,845328,50885,1162798,443742,146159,479469,NA
"48",2015-02-17,1081748.62,764758,1119637,185916,5882720,106505,774896,1703499,2098396,165360,872713,52468,1177361,438597,133633,478779,NA
"49",2015-02-18,1077783.61,796940,1128643,189611,5937075,105024,774672,1718512,2048212,163999,885362,52038,1208662,412810,153038,451136,NA
"50",2015-02-19,1124715.15,779647,1118856,161127,5977364,106329,760703,1711157,2083284,161213,883415,52910,1190282,403143,153973,439974,NA
"51",2015-02-20,1119265.35,776138,1104709,176022,5834262,104639,759037,1677507,2091427,161730,879098,49428,1228748,404568,156768,438801,NA
"52",2015-02-21,1055223.25,634263,1007286,129087,4982922,91392,686270,1554712,1892540,149492,753822,44859,1037821,397324,136732,407976,NA
"53",2015-02-22,1061073.61,644815,960112,159180,4581475,87873,635924,1522607,1919653,144568,648891,40788,974127,400595,128478,408130,NA
"54",2015-02-23,1107378.12,774064,1087773,186387,5919520,105621,751453,1654817,2103123,168360,839774,50359,1189279,434816,151883,466647,NA
"55",2015-02-24,1054275.75,803866,1111667,188316,5942810,105433,771430,1688703,2126775,169003,889262,51504,1182576,426446,155594,447450,NA
"56",2015-02-25,1066657.53,789042,1125521,176820,5850602,102723,766890,1661303,2108792,164161,889142,51898,1213037,417413,155767,434071,NA
"57",2015-02-26,1086781.91,800121,1113185,181957,5880835,103471,751716,1631315,2075717,162266,878187,51376,1214219,430847,155380,437008,NA
"58",2015-02-27,1106932.61,785021,1081678,162462,5883604,99871,732903,1620879,2063601,161770,866009,50222,1166612,418460,150330,443586,NA
"59",2015-02-28,1019241.48,706225,988979,140307,5168946,87950,653337,1516988,1871263,147626,725267,42749,1004058,397833,135098,398394,NA
"60",2015-03-01,952726.86,616725,927055,145512,4907675,91170,602656,1365547,1811809,143336,630055,38067,927571,388793,125682,409310,NA
"61",2015-03-02,1065850.3,741533,1081663,184613,5917279,102959,705374,1503050,2085995,162649,831657,46054,1155809,409179,146664,443499,NA
"62",2015-03-03,1081016.22,742076,1119930,185491,5998468,102686,709468,1541624,2107470,167533,851710,48938,1191256,418659,147541,444269,NA
"63",2015-03-04,1077774.2,795378,1115777,192439,6040232,104343,718385,1588416,2097863,165736,867189,50768,1202442,425872,144067,450940,NA
"64",2015-03-05,1062484.95,809557,1098598,186544,5983460,101345,727482,1616149,2089542,162896,870124,50499,1183938,428592,143890,442792,NA
"65",2015-03-06,1037384.36,780922,1079063,182023,5856311,99051,719485,1589057,1980495,159063,868363,50740,1164660,401793,141665,423168,NA
"66",2015-03-07,971425.62,691063,955533,163244,5135260,87628,631309,1413118,1750586,146511,724733,43983,1004012,373011,124485,386837,NA
"67",2015-03-08,962960,610104,891859,155389,4725880,83937,583753,1303694,1751531,136934,633444,40009,907183,360108,114062,364485,NA
"68",2015-03-09,1054450.85,765139,1041071,175693,5737273,95439,695624,1442355,2047790,155551,824445,49824,1145333,402389,134470,410170,NA
"69",2015-03-10,1095192.91,761733,1064624,166605,5854335,98519,706321,1483302,2009267,157217,853480,51958,1122536,399477,138965,417186,NA
"70",2015-03-11,1090184.92,769466,1069011,160060,5751510,96623,701756,1441056,2033325,158695,856277,50319,1138593,394981,140407,419170,NA
"71",2015-03-12,1064790.33,758932,1057596,172719,5754883,96530,698044,1445674,2001712,160870,866155,50077,1131814,399539,142188,423804,NA
"72",2015-03-13,1033570.69,761417,1039916,143022,5693422,96022,700345,1480742,2003342,157157,841107,49243,1136788,393381,140047,417600,NA
"73",2015-03-14,940327.51,664598,949294,116877,4931020,84527,644097,1402286,1863925,146553,714131,42921,1028414,377370,123571,388207,NA
"74",2015-03-15,906363.14,608912,923765,139800,4532573,84246,602086,1383760,1840008,139482,626213,41251,937128,371235,115138,378864,NA
"75",2015-03-16,1028237.41,750017,1035992,151985,5654664,98865,715872,1531344,2063462,155389,838159,50318,1111560,396226,134783,235360,NA
"76",2015-03-17,1041614.09,731192,1030134,157548,5642558,98142,735620,1487800,2055960,140540,863062,50512,1134663,389901,143446,393703,NA
"77",2015-03-18,1067772.7,749619,1051457,156400,5585366,94844,740822,1428674,2037654,156662,856813,50345,1163169,391314,143240,406586,NA
"78",2015-03-19,1102464.12,742743,1077066,147945,5604993,95073,692153,1471325,2050660,159014,840709,51501,1164502,402546,139974,409879,NA
"79",2015-03-20,1086263.54,727577,1068778,114614,5543525,94984,713743,1486122,1974431,156337,831194,50512,1163954,402280,139036,419398,NA
"80",2015-03-21,961544.74,669110,964449,102751,4835536,86216,655729,1373786,1778894,141933,712477,44863,1007446,386746,123488,401118,NA
"81",2015-03-22,936828.73,575724,929089,121753,4402083,85877,610271,1335229,1757718,134268,625779,41176,920738,395602,115229,412783,NA
